# time_ms,control,value
38301,rstick_y,-3710
38304,rstick_x,4477
38304,rstick_y,-3472
38309,rstick_x,4477
38309,rstick_y,-3472
38317,rstick_x,4477
38317,rstick_y,-3472
38320,rstick_x,3606
38320,rstick_y,-3314
38326,rstick_x,3606
38326,rstick_y,-3314
38332,rstick_x,2844
38332,rstick_y,-3156
38341,rstick_x,2844
38341,rstick_y,-3156
38344,rstick_x,2844
38344,rstick_y,-3156
38349,rstick_x,2844
38349,rstick_y,-3156
38355,rstick_x,2187
38355,rstick_y,-3023
38362,rstick_x,1643
38362,rstick_y,-2886
38373,rstick_x,1643
38373,rstick_y,-2886
38382,rstick_x,1643
38382,rstick_y,-2886
38386,rstick_x,1191
38386,rstick_y,-2776
38401,rstick_x,1191
38401,rstick_y,-2776
38405,rstick_x,1191
38405,rstick_y,-2776
38415,rstick_x,1191
38415,rstick_y,-2776
38422,rstick_y,-2602
38430,rstick_y,-2522
38437,rstick_y,-2522
38444,rstick_y,-2464
38447,rstick_y,-2464
38453,rstick_y,-2464
38475,rstick_y,-2417
38481,rstick_y,-2417
38485,rstick_y,-2417
38488,rstick_y,-2312
38493,rstick_y,-2312
38504,rstick_y,-2312
38509,rstick_y,-2312
38512,rstick_y,-2199
38517,rstick_y,-2199
38520,rstick_y,-2199
38525,rstick_y,-2199
38548,rstick_y,-2199
38555,rstick_y,-2072
38565,rstick_y,-2017
38573,rstick_y,-2017
38576,rstick_y,-1968
38579,rstick_y,-1968
38587,rstick_y,-1968
38597,rstick_y,-1968
38607,rstick_y,-1968
38613,rstick_y,-1968
38620,lstick_y,-2282
38620,rstick_y,-1871
38624,lstick_y,-2282
38624,rstick_y,-1871
38629,lstick_y,-2282
38629,rstick_y,-1871
38640,lstick_x,-2276
38640,lstick_y,-12139
38640,rstick_y,-1871
38644,lstick_x,-2276
38644,lstick_y,-12139
38644,rstick_y,-1871
38649,lstick_x,-11863
38649,lstick_y,-13253
38649,rstick_y,-1871
38653,lstick_x,-11863
38653,lstick_y,-13253
38653,rstick_y,-1871
38661,lstick_x,-11863
38661,lstick_y,-13253
38661,rstick_y,-1871
38673,lstick_x,-11863
38673,lstick_y,-13253
38673,rstick_y,-1871
38683,lstick_x,-11863
38683,lstick_y,-13253
38683,rstick_y,-1871
38687,lstick_x,-20960
38687,lstick_y,-24400
38687,rstick_y,-1871
38691,lstick_x,-20960
38691,lstick_y,-24400
38691,rstick_y,-1871
38698,lstick_x,-20960
38698,lstick_y,-24400
38698,rstick_y,-1871
38701,lstick_x,-20960
38701,lstick_y,-24400
38701,rstick_y,-1871
38709,lstick_x,-20960
38709,lstick_y,-24400
38709,rstick_y,-1871
38711,lstick_x,-20960
38711,lstick_y,-25131
38711,rstick_y,-1871
38717,lstick_x,-20960
38717,lstick_y,-25131
38717,rstick_y,-1871
38720,lstick_x,-20960
38720,lstick_y,-25728
38720,rstick_y,-1871
38736,lstick_x,-20960
38736,lstick_y,-25728
38736,rstick_y,-1871
38743,lstick_x,-20960
38743,lstick_y,-25728
38743,rstick_y,-1871
38750,lstick_x,-20960
38750,lstick_y,-25728
38750,rstick_y,-1871
38754,lstick_x,-20960
38754,lstick_y,-26928
38754,rstick_y,-1796
38757,lstick_x,-20960
38757,lstick_y,-26928
38757,rstick_y,-1796
38767,lstick_x,-20960
38767,lstick_y,-26928
38767,rstick_y,-1796
38774,lstick_x,-20960
38774,lstick_y,-26928
38774,rstick_y,-1796
38777,lstick_x,-20960
38777,lstick_y,-27194
38777,rstick_y,-1796
38781,lstick_x,-20960
38781,lstick_y,-27401
38781,rstick_y,-1771
38786,lstick_x,-20960
38786,lstick_y,-27401
38786,rstick_y,-1771
38794,lstick_x,-20960
38794,lstick_y,-27401
38794,rstick_y,-1771
38805,lstick_x,-20960
38805,lstick_y,-27401
38805,rstick_y,-1771
38813,lstick_x,-20960
38813,lstick_y,-27401
38813,rstick_y,-1771
38820,lstick_x,-20960
38820,lstick_y,-27709
38820,rstick_y,-1771
38823,lstick_x,-20960
38823,lstick_y,-27709
38823,rstick_y,-1771
38829,lstick_x,-20960
38829,lstick_y,-27709
38829,rstick_y,-1771
38839,lstick_x,-20960
38839,lstick_y,-27709
38839,rstick_y,-1771
38843,lstick_x,-20960
38843,lstick_y,-27911
